distributionId,mintNum,tokenId,profit,recipient1,valueIncrease1,divident1,recipient2,valueIncrease2,divident2,recipient3,valueIncrease3,divident3,totalValueIncrease
21,1,21,0.115,0x3d364DFe4D606dDDB9c8ebBCc8D9ded176b43397,6,0.115,,,,,,,6
22,1,22,0.241,0x4903Cdf0727Aa319D9824d850aE9AA72cb17989A,12,0.241,,,,,,,12
23,1,23,0.052,0xaB44F5AD3D5d04B4242C4e32C08b301f6DC2BA73,3,0.052,,,,,,,3
24,1,24,0.088,0xaB44F5AD3D5d04B4242C4e32C08b301f6DC2BA73,4,0.088,,,,,,,4
25,1,25,0.773,0x117e9c83002230e21CAe20Cbb5D92d879b3549bF,39,0.773,,,,,,,39
26,1,26,0.996,0x117e9c83002230e21CAe20Cbb5D92d879b3549bF,50,0.996,,,,,,,50
27,1,27,0.275,0x36eEAD5Ca76B152Ca6c360d8961a9feCd6f8fEfa,14,0.275,,,,,,,14
28,1,28,0.31,0x36eEAD5Ca76B152Ca6c360d8961a9feCd6f8fEfa,16,0.31,,,,,,,16
29,2,29,0.1439,0x4f7FC04641Af0256a43FA24E5492ABa4346DC7AB,31,0.1189573333,0x0Ebf09f486256CACE1B4011A71731280AD26dA12,6.5,0.02494266667,,,,37.5
30,2,30,0.1459,0x4f7FC04641Af0256a43FA24E5492ABa4346DC7AB,31,0.1206106667,0x0Ebf09f486256CACE1B4011A71731280AD26dA12,6.5,0.02528933333,,,,37.5
31,2,31,0.0798,0x4f7FC04641Af0256a43FA24E5492ABa4346DC7AB,17,0.05772765957,0x0Ebf09f486256CACE1B4011A71731280AD26dA12,6.5,0.02207234043,,,,23.5
32,2,32,0.2187,0x4f7FC04641Af0256a43FA24E5492ABa4346DC7AB,47,0.192128972,0x0Ebf09f486256CACE1B4011A71731280AD26dA12,6.5,0.02657102804,,,,53.5
33,2,33,0.1118,0x4f7FC04641Af0256a43FA24E5492ABa4346DC7AB,24,0.08797377049,0x0Ebf09f486256CACE1B4011A71731280AD26dA12,6.5,0.02382622951,,,,30.5
34,2,34,0.2271,0x4f7FC04641Af0256a43FA24E5492ABa4346DC7AB,49,0.2005027027,0x0Ebf09f486256CACE1B4011A71731280AD26dA12,6.5,0.0265972973,,,,55.5
35,2,35,0.0626,0xb6Eb4ffE6Ac99b57C2265e6693679eBA5033345E,23,0.05937319588,0x0Ebf09f486256CACE1B4011A71731280AD26dA12,1.25,0.003226804124,,,,24.25
36,2,36,0.0768,0xb6Eb4ffE6Ac99b57C2265e6693679eBA5033345E,28,0.07351794872,0x0Ebf09f486256CACE1B4011A71731280AD26dA12,1.25,0.003282051282,,,,29.25
37,2,37,0.0964,0xb6Eb4ffE6Ac99b57C2265e6693679eBA5033345E,35,0.09307586207,0x0Ebf09f486256CACE1B4011A71731280AD26dA12,1.25,0.003324137931,,,,36.25
38,2,38,0.0713,0xb6Eb4ffE6Ac99b57C2265e6693679eBA5033345E,26,0.0680293578,0x0Ebf09f486256CACE1B4011A71731280AD26dA12,1.25,0.003270642202,,,,27.25
39,2,39,0.0898,0xb6Eb4ffE6Ac99b57C2265e6693679eBA5033345E,33,0.08652262774,0x0Ebf09f486256CACE1B4011A71731280AD26dA12,1.25,0.003277372263,,,,34.25
40,2,40,0.0353,0xb6Eb4ffE6Ac99b57C2265e6693679eBA5033345E,13,0.03220350877,0x0Ebf09f486256CACE1B4011A71731280AD26dA12,1.25,0.003096491228,,,,14.25
41,2,41,0.0869,0xb6Eb4ffE6Ac99b57C2265e6693679eBA5033345E,32,0.08363308271,0x0Ebf09f486256CACE1B4011A71731280AD26dA12,1.25,0.003266917293,,,,33.25
42,2,42,0.0935,0xb6Eb4ffE6Ac99b57C2265e6693679eBA5033345E,34,0.09018439716,0x0Ebf09f486256CACE1B4011A71731280AD26dA12,1.25,0.003315602837,,,,35.25
43,2,43,0.1754,0xb6Eb4ffE6Ac99b57C2265e6693679eBA5033345E,49,0.1584258065,0x8d63258F4ee291252bd35e450c91E25B62c0475f,5.25,0.01697419355,,,,54.25
44,2,44,0.0417,0xb6Eb4ffE6Ac99b57C2265e6693679eBA5033345E,12,0.02900869565,0x8d63258F4ee291252bd35e450c91E25B62c0475f,5.25,0.01269130435,,,,17.25
45,2,45,0.1287,0xb6Eb4ffE6Ac99b57C2265e6693679eBA5033345E,36,0.11232,0x8d63258F4ee291252bd35e450c91E25B62c0475f,5.25,0.01638,,,,41.25
46,2,46,0.0555,0xb6Eb4ffE6Ac99b57C2265e6693679eBA5033345E,16,0.04178823529,0x8d63258F4ee291252bd35e450c91E25B62c0475f,5.25,0.01371176471,,,,21.25
47,2,47,0.1486,0xb6Eb4ffE6Ac99b57C2265e6693679eBA5033345E,42,0.1320888889,0x8d63258F4ee291252bd35e450c91E25B62c0475f,5.25,0.01651111111,,,,47.25
48,2,48,0.0721,0xb6Eb4ffE6Ac99b57C2265e6693679eBA5033345E,20,0.05710891089,0x8d63258F4ee291252bd35e450c91E25B62c0475f,5.25,0.01499108911,,,,25.25
49,2,49,0.1424,0xb6Eb4ffE6Ac99b57C2265e6693679eBA5033345E,40,0.125878453,0x8d63258F4ee291252bd35e450c91E25B62c0475f,5.25,0.01652154696,,,,45.25
50,2,50,0.162,0xb6Eb4ffE6Ac99b57C2265e6693679eBA5033345E,45,0.1450746269,0x8d63258F4ee291252bd35e450c91E25B62c0475f,5.25,0.01692537313,,,,50.25
51,2,51,0.0408,0xb6Eb4ffE6Ac99b57C2265e6693679eBA5033345E,26,0.03992262357,0x8d63258F4ee291252bd35e450c91E25B62c0475f,0.5714,0.0008773764273,,,,26.5714
52,2,52,0.0335,0xb6Eb4ffE6Ac99b57C2265e6693679eBA5033345E,22,0.03265194007,0x8d63258F4ee291252bd35e450c91E25B62c0475f,0.5714,0.0008480599343,,,,22.5714
53,2,53,0.0301,0xb6Eb4ffE6Ac99b57C2265e6693679eBA5033345E,20,0.02926392953,0x8d63258F4ee291252bd35e450c91E25B62c0475f,0.5714,0.0008360704668,,,,20.5714
54,2,54,0.0426,0xb6Eb4ffE6Ac99b57C2265e6693679eBA5033345E,28,0.04174804175,0x8d63258F4ee291252bd35e450c91E25B62c0475f,0.5714,0.000851958252,,,,28.5714
55,2,55,0.0522,0xb6Eb4ffE6Ac99b57C2265e6693679eBA5033345E,34,0.05133723251,0x8d63258F4ee291252bd35e450c91E25B62c0475f,0.5714,0.0008627674899,,,,34.5714
56,2,56,0.0281,0xb6Eb4ffE6Ac99b57C2265e6693679eBA5033345E,18,0.02723542652,0x8d63258F4ee291252bd35e450c91E25B62c0475f,0.5714,0.000864573484,,,,18.5714
57,2,57,0.0639,0xb6Eb4ffE6Ac99b57C2265e6693679eBA5033345E,41,0.0630216928,0x8d63258F4ee291252bd35e450c91E25B62c0475f,0.5714,0.0008783072016,,,,41.5714
58,2,58,0.0255,0xb6Eb4ffE6Ac99b57C2265e6693679eBA5033345E,17,0.02467077182,0x8d63258F4ee291252bd35e450c91E25B62c0475f,0.5714,0.0008292281776,,,,17.5714
59,2,59,0.0212,0xb6Eb4ffE6Ac99b57C2265e6693679eBA5033345E,14,0.02036866739,0x8d63258F4ee291252bd35e450c91E25B62c0475f,0.5714,0.0008313326105,,,,14.5714
60,2,60,0.0305,0xb6Eb4ffE6Ac99b57C2265e6693679eBA5033345E,20,0.02965281896,0x8d63258F4ee291252bd35e450c91E25B62c0475f,0.5714,0.0008471810378,,,,20.5714
61,2,61,0.0415,0xb6Eb4ffE6Ac99b57C2265e6693679eBA5033345E,27,0.04063993849,0x8d63258F4ee291252bd35e450c91E25B62c0475f,0.5714,0.000860061513,,,,27.5714
62,2,62,0.0572,0xb6Eb4ffE6Ac99b57C2265e6693679eBA5033345E,37,0.05633008086,0x8d63258F4ee291252bd35e450c91E25B62c0475f,0.5714,0.0008699191406,,,,37.5714
63,2,63,0.0261,0xb6Eb4ffE6Ac99b57C2265e6693679eBA5033345E,17,0.02525126057,0x8d63258F4ee291252bd35e450c91E25B62c0475f,0.5714,0.0008487394288,,,,17.5714
64,2,64,0.0718,0xb6Eb4ffE6Ac99b57C2265e6693679eBA5033345E,47,0.07093758014,0x8d63258F4ee291252bd35e450c91E25B62c0475f,0.5714,0.0008624198573,,,,47.5714
65,2,65,0.1235,0x5E984ba4Deecb7B63c487f516895734432abb307,43,0.1186703911,0x8d63258F4ee291252bd35e450c91E25B62c0475f,1.75,0.004829608939,,,,44.75
66,2,66,0.0476,0x5E984ba4Deecb7B63c487f516895734432abb307,17,0.04315733333,0x8d63258F4ee291252bd35e450c91E25B62c0475f,1.75,0.004442666667,,,,18.75
67,2,67,0.0322,0x5E984ba4Deecb7B63c487f516895734432abb307,11,0.02778039216,0x8d63258F4ee291252bd35e450c91E25B62c0475f,1.75,0.004419607843,,,,12.75
68,2,68,0.035,0x5E984ba4Deecb7B63c487f516895734432abb307,12,0.03054545455,0x8d63258F4ee291252bd35e450c91E25B62c0475f,1.75,0.004454545455,,,,13.75
69,2,69,0.092,0x5E984ba4Deecb7B63c487f516895734432abb307,32,0.08722962963,0x8d63258F4ee291252bd35e450c91E25B62c0475f,1.75,0.00477037037,,,,33.75
70,2,70,0.1208,0x5E984ba4Deecb7B63c487f516895734432abb307,42,0.115968,0x8d63258F4ee291252bd35e450c91E25B62c0475f,1.75,0.004832,,,,43.75
71,2,71,0.0468,0x5E984ba4Deecb7B63c487f516895734432abb307,16,0.04218591549,0x8d63258F4ee291252bd35e450c91E25B62c0475f,1.75,0.004614084507,,,,17.75
72,2,72,0.1108,0x5E984ba4Deecb7B63c487f516895734432abb307,39,0.1060417178,0x8d63258F4ee291252bd35e450c91E25B62c0475f,1.75,0.004758282209,,,,40.75
73,2,73,0.0828,0x5E984ba4Deecb7B63c487f516895734432abb307,22,0.06930003766,0xB279FCA11E61D0BC0114766d986D51d16d19d43B,4.2857,0.01349996234,,,,26.2857
74,2,74,0.0568,0x5E984ba4Deecb7B63c487f516895734432abb307,15,0.0441778105,0xB279FCA11E61D0BC0114766d986D51d16d19d43B,4.2857,0.0126221895,,,,19.2857
75,2,75,0.0474,0x5E984ba4Deecb7B63c487f516895734432abb307,13,0.03564796335,0xB279FCA11E61D0BC0114766d986D51d16d19d43B,4.2857,0.01175203665,,,,17.2857
76,2,76,0.1742,0x5E984ba4Deecb7B63c487f516895734432abb307,47,0.1596429414,0xB279FCA11E61D0BC0114766d986D51d16d19d43B,4.2857,0.0145570586,,,,51.2857
77,2,77,0.0502,0x5E984ba4Deecb7B63c487f516895734432abb307,13,0.03775375021,0xB279FCA11E61D0BC0114766d986D51d16d19d43B,4.2857,0.01244624979,,,,17.2857
78,2,78,0.0587,0x5E984ba4Deecb7B63c487f516895734432abb307,16,0.04629862415,0xB279FCA11E61D0BC0114766d986D51d16d19d43B,4.2857,0.01240137585,,,,20.2857
79,2,79,0.1746,0x5E984ba4Deecb7B63c487f516895734432abb307,47,0.1600095153,0xB279FCA11E61D0BC0114766d986D51d16d19d43B,4.2857,0.01459048468,,,,51.2857
80,2,80,0.0637,0x5E984ba4Deecb7B63c487f516895734432abb307,26,0.06059275682,0xB279FCA11E61D0BC0114766d986D51d16d19d43B,1.3333,0.00310724318,,,,27.3333
81,2,81,0.0417,0x5E984ba4Deecb7B63c487f516895734432abb307,17,0.03866734303,0xB279FCA11E61D0BC0114766d986D51d16d19d43B,1.3333,0.003032656968,,,,18.3333
82,2,82,0.0999,0x5E984ba4Deecb7B63c487f516895734432abb307,40,0.09667749732,0xB279FCA11E61D0BC0114766d986D51d16d19d43B,1.3333,0.003222502679,,,,41.3333
83,2,83,0.0317,0x5E984ba4Deecb7B63c487f516895734432abb307,13,0.02875122965,0xB279FCA11E61D0BC0114766d986D51d16d19d43B,1.3333,0.002948770346,,,,14.3333
84,2,84,0.0914,0x5E984ba4Deecb7B63c487f516895734432abb307,37,0.08822094628,0xB279FCA11E61D0BC0114766d986D51d16d19d43B,1.3333,0.003179053721,,,,38.3333
85,2,85,0.0449,0x5E984ba4Deecb7B63c487f516895734432abb307,18,0.04180352035,0xB279FCA11E61D0BC0114766d986D51d16d19d43B,1.3333,0.003096479649,,,,19.3333
86,2,86,0.1124,0x5E984ba4Deecb7B63c487f516895734432abb307,45,0.1091655462,0xB279FCA11E61D0BC0114766d986D51d16d19d43B,1.3333,0.003234453838,,,,46.3333
87,2,87,0.1126,0x5E984ba4Deecb7B63c487f516895734432abb307,45,0.1093597909,0xB279FCA11E61D0BC0114766d986D51d16d19d43B,1.3333,0.003240209094,,,,46.3333
88,2,88,0.083,0x5E984ba4Deecb7B63c487f516895734432abb307,33,0.07977677648,0xB279FCA11E61D0BC0114766d986D51d16d19d43B,1.3333,0.003223223518,,,,34.3333
89,2,89,0.1784,0x5E984ba4Deecb7B63c487f516895734432abb307,44,0.1565445955,0xA1756a269B535aC17Fe68aF401D865Ef78313E60,6.1429,0.02185540445,,,,50.1429
90,2,90,0.0643,0x5E984ba4Deecb7B63c487f516895734432abb307,16,0.04646184556,0xA1756a269B535aC17Fe68aF401D865Ef78313E60,6.1429,0.01783815444,,,,22.1429
91,2,91,0.1019,0x5E984ba4Deecb7B63c487f516895734432abb307,25,0.08180034615,0xA1756a269B535aC17Fe68aF401D865Ef78313E60,6.1429,0.02009965385,,,,31.1429
92,2,92,0.1993,0x5E984ba4Deecb7B63c487f516895734432abb307,49,0.1770980489,0xA1756a269B535aC17Fe68aF401D865Ef78313E60,6.1429,0.02220195111,,,,55.1429
93,2,93,0.041,0x5E984ba4Deecb7B63c487f516895734432abb307,10,0.02539816266,0xA1756a269B535aC17Fe68aF401D865Ef78313E60,6.1429,0.01560183734,,,,16.1429
94,2,94,0.1398,0x5E984ba4Deecb7B63c487f516895734432abb307,34,0.118406991,0xA1756a269B535aC17Fe68aF401D865Ef78313E60,6.1429,0.02139300898,,,,40.1429
95,2,95,0.1661,0x5E984ba4Deecb7B63c487f516895734432abb307,41,0.1444565353,0xA1756a269B535aC17Fe68aF401D865Ef78313E60,6.1429,0.02164346466,,,,47.1429
96,2,96,0.054,0xb6Eb4ffE6Ac99b57C2265e6693679eBA5033345E,17,0.04505521472,0xA1756a269B535aC17Fe68aF401D865Ef78313E60,3.375,0.008944785276,,,,20.375
97,2,97,0.0786,0xb6Eb4ffE6Ac99b57C2265e6693679eBA5033345E,25,0.06925110132,0xA1756a269B535aC17Fe68aF401D865Ef78313E60,3.375,0.009348898678,,,,28.375
98,2,98,0.1172,0xb6Eb4ffE6Ac99b57C2265e6693679eBA5033345E,37,0.107403096,0xA1756a269B535aC17Fe68aF401D865Ef78313E60,3.375,0.009796904025,,,,40.375
99,2,99,0.0427,0xb6Eb4ffE6Ac99b57C2265e6693679eBA5033345E,13,0.03389923664,0xA1756a269B535aC17Fe68aF401D865Ef78313E60,3.375,0.008800763359,,,,16.375
100,2,100,0.158,0xb6Eb4ffE6Ac99b57C2265e6693679eBA5033345E,50,0.1480093677,0xA1756a269B535aC17Fe68aF401D865Ef78313E60,3.375,0.009990632319,,,,53.375
101,2,101,0.0763,0xb6Eb4ffE6Ac99b57C2265e6693679eBA5033345E,24,0.06689315068,0xA1756a269B535aC17Fe68aF401D865Ef78313E60,3.375,0.009406849315,,,,27.375
102,2,102,0.0393,0xb6Eb4ffE6Ac99b57C2265e6693679eBA5033345E,12,0.03067317073,0xA1756a269B535aC17Fe68aF401D865Ef78313E60,3.375,0.008626829268,,,,15.375
103,2,103,0.1311,0xb6Eb4ffE6Ac99b57C2265e6693679eBA5033345E,41,0.1211290141,0xA1756a269B535aC17Fe68aF401D865Ef78313E60,3.375,0.009970985915,,,,44.375
104,2,104,0.1488,0xb6Eb4ffE6Ac99b57C2265e6693679eBA5033345E,47,0.1388307692,0xA1756a269B535aC17Fe68aF401D865Ef78313E60,3.375,0.009969230769,,,,50.375
105,2,105,0.0865,0xb6Eb4ffE6Ac99b57C2265e6693679eBA5033345E,41,0.08353649201,0x8F0b466d77BF92cb3ef9897a31bc6d8Da82500C8,1.4545,0.002963507991,,,,42.4545
106,2,106,0.0627,0xb6Eb4ffE6Ac99b57C2265e6693679eBA5033345E,30,0.05980066445,0x8F0b466d77BF92cb3ef9897a31bc6d8Da82500C8,1.4545,0.002899335548,,,,31.4545
107,2,107,0.0916,0xb6Eb4ffE6Ac99b57C2265e6693679eBA5033345E,43,0.08860295358,0x8F0b466d77BF92cb3ef9897a31bc6d8Da82500C8,1.4545,0.002997046418,,,,44.4545
108,2,108,0.0311,0xb6Eb4ffE6Ac99b57C2265e6693679eBA5033345E,15,0.02835090705,0x8F0b466d77BF92cb3ef9897a31bc6d8Da82500C8,1.4545,0.002749092953,,,,16.4545
109,2,109,0.1016,0xb6Eb4ffE6Ac99b57C2265e6693679eBA5033345E,48,0.09861185534,0x8F0b466d77BF92cb3ef9897a31bc6d8Da82500C8,1.4545,0.002988144658,,,,49.4545
110,2,110,0.0723,0xb6Eb4ffE6Ac99b57C2265e6693679eBA5033345E,34,0.06933393504,0x8F0b466d77BF92cb3ef9897a31bc6d8Da82500C8,1.4545,0.002966064956,,,,35.4545
111,2,111,0.0719,0xb6Eb4ffE6Ac99b57C2265e6693679eBA5033345E,34,0.06895034481,0x8F0b466d77BF92cb3ef9897a31bc6d8Da82500C8,1.4545,0.002949655192,,,,35.4545
112,2,112,0.1019,0xb6Eb4ffE6Ac99b57C2265e6693679eBA5033345E,48,0.09890303208,0x8F0b466d77BF92cb3ef9897a31bc6d8Da82500C8,1.4545,0.00299696792,,,,49.4545
113,2,113,0.0954,0xb6Eb4ffE6Ac99b57C2265e6693679eBA5033345E,45,0.09241300627,0x8F0b466d77BF92cb3ef9897a31bc6d8Da82500C8,1.4545,0.002986993725,,,,46.4545
114,2,114,0.098,0xb6Eb4ffE6Ac99b57C2265e6693679eBA5033345E,47,0.09505825052,0x8F0b466d77BF92cb3ef9897a31bc6d8Da82500C8,1.4545,0.002941749476,,,,48.4545
115,2,115,0.043,0xb6Eb4ffE6Ac99b57C2265e6693679eBA5033345E,20,0.04008483069,0x8F0b466d77BF92cb3ef9897a31bc6d8Da82500C8,1.4545,0.002915169312,,,,21.4545
116,2,116,0.0432,0xb6Eb4ffE6Ac99b57C2265e6693679eBA5033345E,21,0.04040170122,0x8F0b466d77BF92cb3ef9897a31bc6d8Da82500C8,1.4545,0.002798298782,,,,22.4545
117,2,117,0.1446,0x5E984ba4Deecb7B63c487f516895734432abb307,39,0.1307144397,0x808B9581e9e45Db7A21010220c3D9104BA6dca0c,4.1429,0.01388556031,,,,43.1429
118,2,118,0.1797,0x5E984ba4Deecb7B63c487f516895734432abb307,49,0.1656909954,0x808B9581e9e45Db7A21010220c3D9104BA6dca0c,4.1429,0.01400900459,,,,53.1429
119,2,119,0.1119,0x5E984ba4Deecb7B63c487f516895734432abb307,30,0.09832205232,0x808B9581e9e45Db7A21010220c3D9104BA6dca0c,4.1429,0.01357794768,,,,34.1429
120,2,120,0.184,0x5E984ba4Deecb7B63c487f516895734432abb307,50,0.1699207098,0x808B9581e9e45Db7A21010220c3D9104BA6dca0c,4.1429,0.01407929017,,,,54.1429
121,2,121,0.0622,0x5E984ba4Deecb7B63c487f516895734432abb307,17,0.05001206079,0x808B9581e9e45Db7A21010220c3D9104BA6dca0c,4.1429,0.01218793921,,,,21.1429
122,2,122,0.1518,0x5E984ba4Deecb7B63c487f516895734432abb307,41,0.1378688565,0x808B9581e9e45Db7A21010220c3D9104BA6dca0c,4.1429,0.01393114355,,,,45.1429
123,2,123,0.1228,0x5E984ba4Deecb7B63c487f516895734432abb307,33,0.109102951,0x808B9581e9e45Db7A21010220c3D9104BA6dca0c,4.1429,0.01369704896,,,,37.1429
124,2,124,0.0872,0x5E984ba4Deecb7B63c487f516895734432abb307,24,0.07436333853,0x808B9581e9e45Db7A21010220c3D9104BA6dca0c,4.1429,0.01283666147,,,,28.1429
125,2,125,0.0494,0x5E984ba4Deecb7B63c487f516895734432abb307,13,0.03746157301,0x808B9581e9e45Db7A21010220c3D9104BA6dca0c,4.1429,0.01193842699,,,,17.1429
126,2,126,0.0803,0x5E984ba4Deecb7B63c487f516895734432abb307,36,0.07428173509,0xBd05a692e4C3FE47d83dA54684F3C3F40eb38140,2.9167,0.006018264909,,,,38.9167
127,2,127,0.1098,0x5E984ba4Deecb7B63c487f516895734432abb307,49,0.1036313941,0xBd05a692e4C3FE47d83dA54684F3C3F40eb38140,2.9167,0.006168605863,,,,51.9167
128,2,128,0.0628,0x5E984ba4Deecb7B63c487f516895734432abb307,28,0.05687541038,0xBd05a692e4C3FE47d83dA54684F3C3F40eb38140,2.9167,0.005924589623,,,,30.9167
129,2,129,0.0885,0x5E984ba4Deecb7B63c487f516895734432abb307,39,0.08234188283,0xBd05a692e4C3FE47d83dA54684F3C3F40eb38140,2.9167,0.00615811717,,,,41.9167
130,2,130,0.0289,0x5E984ba4Deecb7B63c487f516895734432abb307,13,0.02360413905,0xBd05a692e4C3FE47d83dA54684F3C3F40eb38140,2.9167,0.005295860951,,,,15.9167
131,2,131,0.0922,0x5E984ba4Deecb7B63c487f516895734432abb307,41,0.08607659501,0xBd05a692e4C3FE47d83dA54684F3C3F40eb38140,2.9167,0.006123404992,,,,43.9167
132,2,132,0.0421,0x5E984ba4Deecb7B63c487f516895734432abb307,19,0.03649728289,0xBd05a692e4C3FE47d83dA54684F3C3F40eb38140,2.9167,0.005602717106,,,,21.9167
133,2,133,0.1094,0x5E984ba4Deecb7B63c487f516895734432abb307,49,0.1032538663,0xBd05a692e4C3FE47d83dA54684F3C3F40eb38140,2.9167,0.00614613371,,,,51.9167
134,2,134,0.0365,0x5E984ba4Deecb7B63c487f516895734432abb307,16,0.0308721923,0xBd05a692e4C3FE47d83dA54684F3C3F40eb38140,2.9167,0.005627807704,,,,18.9167
135,2,135,0.1022,0x5E984ba4Deecb7B63c487f516895734432abb307,45,0.09597906367,0xBd05a692e4C3FE47d83dA54684F3C3F40eb38140,2.9167,0.006220936333,,,,47.9167
136,2,136,0.1009,0x5E984ba4Deecb7B63c487f516895734432abb307,45,0.09475819495,0xBd05a692e4C3FE47d83dA54684F3C3F40eb38140,2.9167,0.006141805049,,,,47.9167
137,2,137,0.0248,0x5E984ba4Deecb7B63c487f516895734432abb307,11,0.01960234826,0xBd05a692e4C3FE47d83dA54684F3C3F40eb38140,2.9167,0.005197651742,,,,13.9167
138,2,138,0.0731,0x5E984ba4Deecb7B63c487f516895734432abb307,33,0.06716374277,0xBd05a692e4C3FE47d83dA54684F3C3F40eb38140,2.9167,0.005936257229,,,,35.9167
139,2,139,0.0598,0x5E984ba4Deecb7B63c487f516895734432abb307,17,0.04976356676,0x3d364DFe4D606dDDB9c8ebBCc8D9ded176b43397,3.4286,0.01003643324,,,,20.4286
140,2,140,0.0955,0x5E984ba4Deecb7B63c487f516895734432abb307,27,0.08473935705,0x3d364DFe4D606dDDB9c8ebBCc8D9ded176b43397,3.4286,0.01076064295,,,,30.4286
141,2,141,0.0457,0x5E984ba4Deecb7B63c487f516895734432abb307,13,0.0361625458,0x3d364DFe4D606dDDB9c8ebBCc8D9ded176b43397,3.4286,0.009537454196,,,,16.4286
142,2,142,0.1005,0x5E984ba4Deecb7B63c487f516895734432abb307,28,0.08953628224,0x3d364DFe4D606dDDB9c8ebBCc8D9ded176b43397,3.4286,0.01096371776,,,,31.4286
143,2,143,0.1238,0x5E984ba4Deecb7B63c487f516895734432abb307,35,0.112754563,0x3d364DFe4D606dDDB9c8ebBCc8D9ded176b43397,3.4286,0.01104543699,,,,38.4286
144,2,144,0.0498,0x5E984ba4Deecb7B63c487f516895734432abb307,14,0.04000321311,0x3d364DFe4D606dDDB9c8ebBCc8D9ded176b43397,3.4286,0.009796786891,,,,17.4286
145,2,145,0.0905,0x5E984ba4Deecb7B63c487f516895734432abb307,25,0.07958534715,0x3d364DFe4D606dDDB9c8ebBCc8D9ded176b43397,3.4286,0.01091465285,,,,28.4286
146,2,146,0.1,0x5E984ba4Deecb7B63c487f516895734432abb307,40,0.09411764706,0xBd05a692e4C3FE47d83dA54684F3C3F40eb38140,2.5,0.005882352941,,,,42.5
147,2,147,0.0431,0x5E984ba4Deecb7B63c487f516895734432abb307,17,0.03757435897,0xBd05a692e4C3FE47d83dA54684F3C3F40eb38140,2.5,0.005525641026,,,,19.5
148,2,148,0.1029,0x5E984ba4Deecb7B63c487f516895734432abb307,41,0.0969862069,0xBd05a692e4C3FE47d83dA54684F3C3F40eb38140,2.5,0.005913793103,,,,43.5
149,2,149,0.0591,0x5E984ba4Deecb7B63c487f516895734432abb307,24,0.0535245283,0xBd05a692e4C3FE47d83dA54684F3C3F40eb38140,2.5,0.005575471698,,,,26.5
150,2,150,0.0947,0x5E984ba4Deecb7B63c487f516895734432abb307,38,0.08885432099,0xBd05a692e4C3FE47d83dA54684F3C3F40eb38140,2.5,0.005845679012,,,,40.5
151,2,151,0.061,0x5E984ba4Deecb7B63c487f516895734432abb307,24,0.05524528302,0xBd05a692e4C3FE47d83dA54684F3C3F40eb38140,2.5,0.005754716981,,,,26.5
152,2,152,0.1154,0x5E984ba4Deecb7B63c487f516895734432abb307,46,0.1094515464,0xBd05a692e4C3FE47d83dA54684F3C3F40eb38140,2.5,0.005948453608,,,,48.5
153,2,153,0.0793,0x5E984ba4Deecb7B63c487f516895734432abb307,32,0.07355362319,0xBd05a692e4C3FE47d83dA54684F3C3F40eb38140,2.5,0.005746376812,,,,34.5
