tokenId,originalWoodId,chimeraId,producerId,ownerId,imageUrl,salesPrice,productionLocation,productionDate,productionMethod,processingStatus,salesStatus,treeSpecies,divisionCount,parentId
17,17,,10,17,,"2,269.00",鳥取県八頭郡智頭町,2024/01/16,採取,未加工,取引済み,スギ,12,
18,18,,6,15,,"2,994.00",北海道上川郡下川町,2024/01/05,採取,未加工,取引済み,タモ,7,
19,19,,10,17,,"2,533.00",鳥取県八頭郡智頭町,2024/01/16,採取,未加工,取引済み,スギ,12,
20,20,,11,17,,"2,691.00",岡山県英田郡西粟倉村,2024/01/04,採取,未加工,取引済み,スギ,11,
21,21,,8,16,,"2,115.00",岐阜県美濃市曽代,2024/01/31,採取,未加工,取引済み,ヒノキ,8,
22,22,,11,17,,"2,241.00",岡山県英田郡西粟倉村,2024/01/23,採取,未加工,取引済み,スギ,15,
23,23,,12,17,,"2,052.00",長野県下伊那郡松川町,2024/01/13,採取,未加工,取引済み,カキ,6,
24,24,,12,15,,"2,088.00",長野県下伊那郡松川町,2024/01/17,採取,未加工,取引済み,カキ,2,
25,25,,13,16,,"2,773.00",和歌山県田辺市新庄町,2024/01/28,採取,未加工,取引済み,ヒノキ,8,
26,26,,13,16,,"2,996.00",和歌山県田辺市新庄町,2024/01/13,採取,未加工,取引済み,ウバメガシ,3,
27,27,,14,15,,"2,275.00",神奈川県箱根町,2024/01/13,採取,未加工,取引済み,スギ,7,
28,28,,14,16,,"2,310.00",神奈川県箱根町,2024/01/13,採取,未加工,取引済み,スギ,4,
29,1,0-22,15,20,,608.00,神奈川県藤沢市遠藤,2024/02/03,切り出し,未加工,取引済み,,,1
30,1,1-15,15,19,,610.00,神奈川県藤沢市遠藤,2024/02/06,切り出し,未加工,取引済み,,,1
31,1,1-46,15,20,,544.00,神奈川県藤沢市遠藤,2024/02/01,切り出し,未加工,取引済み,,,1
32,1,2-17,15,19,,683.00,神奈川県藤沢市遠藤,2024/02/04,切り出し,未加工,取引済み,,,1
33,1,2-27,15,20,,576.00,神奈川県藤沢市遠藤,2024/02/01,切り出し,未加工,取引済み,,,1
34,1,3-42,15,19,,691.00,神奈川県藤沢市遠藤,2024/02/08,切り出し,未加工,取引済み,,,1
35,2,0-16,16,19,,337.00,神奈川県藤沢市遠藤,2024/02/05,切り出し,未加工,取引済み,,,2
36,2,0-56,16,20,,351.00,神奈川県藤沢市遠藤,2024/02/03,切り出し,未加工,取引済み,,,2
37,2,0-60,16,18,,371.00,神奈川県藤沢市遠藤,2024/02/04,切り出し,未加工,取引済み,,,2
38,2,1-6,16,19,,346.00,神奈川県藤沢市遠藤,2024/02/04,切り出し,未加工,取引済み,,,2
39,2,1-19,16,20,,364.00,神奈川県藤沢市遠藤,2024/02/10,切り出し,未加工,取引済み,,,2
40,2,2-6,16,19,,310.00,神奈川県藤沢市遠藤,2024/02/02,切り出し,未加工,取引済み,,,2
41,2,2-48,16,19,,361.00,神奈川県藤沢市遠藤,2024/02/03,切り出し,未加工,取引済み,,,2
42,2,3-43,16,18,,368.00,神奈川県藤沢市遠藤,2024/02/06,切り出し,未加工,取引済み,,,2
43,3,0-50,16,20,,531.00,神奈川県藤沢市遠藤,2024/02/04,切り出し,未加工,取引済み,,,3
44,3,0-58,16,19,,398.00,神奈川県藤沢市遠藤,2024/02/06,切り出し,未加工,取引済み,,,3
45,3,1-0,16,20,,485.00,神奈川県藤沢市遠藤,2024/02/09,切り出し,未加工,取引済み,,,3
46,3,1-13,16,18,,412.00,神奈川県藤沢市遠藤,2024/02/01,切り出し,未加工,取引済み,,,3
47,3,1-31,16,20,,505.00,神奈川県藤沢市遠藤,2024/02/07,切り出し,未加工,取引済み,,,3
48,3,1-44,16,20,,428.00,神奈川県藤沢市遠藤,2024/02/02,切り出し,未加工,取引済み,,,3
49,3,2-38,16,18,,498.00,神奈川県藤沢市遠藤,2024/02/02,切り出し,未加工,取引済み,,,3
50,3,2-44,16,19,,518.00,神奈川県藤沢市遠藤,2024/02/02,切り出し,未加工,取引済み,,,3
51,4,0-15,16,18,,195.00,神奈川県藤沢市遠藤,2024/02/01,切り出し,未加工,取引済み,,,4
52,4,0-28,16,19,,188.00,神奈川県藤沢市遠藤,2024/02/06,切り出し,未加工,取引済み,,,4
53,4,0-30,16,20,,184.00,神奈川県藤沢市遠藤,2024/02/01,切り出し,未加工,取引済み,,,4
54,4,0-55,16,18,,197.00,神奈川県藤沢市遠藤,2024/02/02,切り出し,未加工,取引済み,,,4
55,4,1-25,16,18,,206.00,神奈川県藤沢市遠藤,2024/02/03,切り出し,未加工,取引済み,,,4
56,4,1-45,16,20,,182.00,神奈川県藤沢市遠藤,2024/02/04,切り出し,未加工,取引済み,,,4
57,4,2-21,16,19,,218.00,神奈川県藤沢市遠藤,2024/02/09,切り出し,未加工,取引済み,,,4
58,4,2-31,16,19,,180.00,神奈川県藤沢市遠藤,2024/02/08,切り出し,未加工,取引済み,,,4
59,4,2-33,16,20,,175.00,神奈川県藤沢市遠藤,2024/02/08,切り出し,未加工,取引済み,,,4
60,4,2-57,16,19,,185.00,神奈川県藤沢市遠藤,2024/02/02,切り出し,未加工,取引済み,,,4
61,4,3-2,16,20,,196.00,神奈川県藤沢市遠藤,2024/02/04,切り出し,未加工,取引済み,,,4
62,4,3-7,16,20,,211.00,神奈川県藤沢市遠藤,2024/02/06,切り出し,未加工,取引済み,,,4
63,4,3-51,16,20,,180.00,神奈川県藤沢市遠藤,2024/02/10,切り出し,未加工,取引済み,,,4
64,4,3-56,16,19,,226.00,神奈川県藤沢市遠藤,2024/02/10,切り出し,未加工,取引済み,,,4
65,5,0-9,17,20,,408.00,神奈川県藤沢市遠藤,2024/02/02,切り出し,未加工,取引済み,,,5
66,5,0-25,17,18,,332.00,神奈川県藤沢市遠藤,2024/02/06,切り出し,未加工,取引済み,,,5
67,5,1-7,17,20,,317.00,神奈川県藤沢市遠藤,2024/02/09,切り出し,未加工,取引済み,,,5
68,5,1-43,17,18,,320.00,神奈川県藤沢市遠藤,2024/02/02,切り出し,未加工,取引済み,,,5
69,5,2-8,17,19,,376.00,神奈川県藤沢市遠藤,2024/02/02,切り出し,未加工,取引済み,,,5
70,5,3-12,17,18,,405.00,神奈川県藤沢市遠藤,2024/02/06,切り出し,未加工,取引済み,,,5
71,5,3-25,17,19,,331.00,神奈川県藤沢市遠藤,2024/02/07,切り出し,未加工,取引済み,,,5
72,5,3-37,17,19,,395.00,神奈川県藤沢市遠藤,2024/02/05,切り出し,未加工,取引済み,,,5
73,6,0-63,17,19,,455.00,神奈川県藤沢市遠藤,2024/02/10,切り出し,未加工,取引済み,,,6
74,6,1-48,17,20,,429.00,神奈川県藤沢市遠藤,2024/02/06,切り出し,未加工,取引済み,,,6
75,6,2-1,17,20,,420.00,神奈川県藤沢市遠藤,2024/02/09,切り出し,未加工,取引済み,,,6
76,6,2-46,17,19,,547.00,神奈川県藤沢市遠藤,2024/02/04,切り出し,未加工,取引済み,,,6
77,6,2-49,17,18,,423.00,神奈川県藤沢市遠藤,2024/02/10,切り出し,未加工,取引済み,,,6
78,6,3-11,17,18,,431.00,神奈川県藤沢市遠藤,2024/02/03,切り出し,未加工,取引済み,,,6
79,6,3-39,17,20,,547.00,神奈川県藤沢市遠藤,2024/02/04,切り出し,未加工,取引済み,,,6
80,7,0-18,17,20,,313.00,神奈川県藤沢市遠藤,2024/02/01,切り出し,未加工,取引済み,,,7
81,7,0-52,17,20,,291.00,神奈川県藤沢市遠藤,2024/02/09,切り出し,未加工,取引済み,,,7
82,7,1-3,17,19,,349.00,神奈川県藤沢市遠藤,2024/02/04,切り出し,未加工,取引済み,,,7
83,7,1-18,17,19,,281.00,神奈川県藤沢市遠藤,2024/02/10,切り出し,未加工,取引済み,,,7
84,7,2-3,17,20,,341.00,神奈川県藤沢市遠藤,2024/02/05,切り出し,未加工,取引済み,,,7
85,7,2-16,17,18,,295.00,神奈川県藤沢市遠藤,2024/02/07,切り出し,未加工,取引済み,,,7
86,7,2-34,17,20,,362.00,神奈川県藤沢市遠藤,2024/02/08,切り出し,未加工,取引済み,,,7
87,7,3-35,17,20,,362.00,神奈川県藤沢市遠藤,2024/02/10,切り出し,未加工,取引済み,,,7
88,7,3-41,17,19,,333.00,神奈川県藤沢市遠藤,2024/02/05,切り出し,未加工,取引済み,,,7
89,8,0-31,17,18,,587.00,神奈川県藤沢市遠藤,2024/02/01,切り出し,未加工,取引済み,,,8
90,8,0-35,17,18,,473.00,神奈川県藤沢市遠藤,2024/02/07,切り出し,未加工,取引済み,,,8
91,8,1-4,17,18,,510.00,神奈川県藤沢市遠藤,2024/02/03,切り出し,未加工,取引済み,,,8
92,8,1-21,17,18,,608.00,神奈川県藤沢市遠藤,2024/02/02,切り出し,未加工,取引済み,,,8
93,8,1-34,17,18,,449.00,神奈川県藤沢市遠藤,2024/02/05,切り出し,未加工,取引済み,,,8
94,8,2-47,17,20,,548.00,神奈川県藤沢市遠藤,2024/02/08,切り出し,未加工,取引済み,,,8
95,8,3-21,17,20,,574.00,神奈川県藤沢市遠藤,2024/02/10,切り出し,未加工,取引済み,,,8
96,9,0-6,16,20,,331.00,神奈川県藤沢市遠藤,2024/02/09,切り出し,未加工,取引済み,,,9
97,9,0-64,16,19,,353.00,神奈川県藤沢市遠藤,2024/02/03,切り出し,未加工,取引済み,,,9
98,9,1-32,16,18,,387.00,神奈川県藤沢市遠藤,2024/02/09,切り出し,未加工,取引済み,,,9
99,9,1-36,16,20,,321.00,神奈川県藤沢市遠藤,2024/02/10,切り出し,未加工,取引済み,,,9
100,9,2-5,16,18,,423.00,神奈川県藤沢市遠藤,2024/02/05,切り出し,未加工,取引済み,,,9
101,9,2-28,16,20,,351.00,神奈川県藤沢市遠藤,2024/02/08,切り出し,未加工,取引済み,,,9
102,9,2-50,16,18,,318.00,神奈川県藤沢市遠藤,2024/02/08,切り出し,未加工,取引済み,,,9
103,9,2-52,16,18,,399.00,神奈川県藤沢市遠藤,2024/02/01,切り出し,未加工,取引済み,,,9
104,9,3-1,16,19,,415.00,神奈川県藤沢市遠藤,2024/02/04,切り出し,未加工,取引済み,,,9
105,10,0-2,16,18,,272.00,神奈川県藤沢市遠藤,2024/02/08,切り出し,未加工,取引済み,,,10
106,10,0-40,16,19,,251.00,神奈川県藤沢市遠藤,2024/02/02,切り出し,未加工,取引済み,,,10
107,10,0-44,16,18,,277.00,神奈川県藤沢市遠藤,2024/02/02,切り出し,未加工,取引済み,,,10
108,10,0-54,16,19,,222.00,神奈川県藤沢市遠藤,2024/02/07,切り出し,未加工,取引済み,,,10
109,10,2-4,16,20,,286.00,神奈川県藤沢市遠藤,2024/02/10,切り出し,未加工,取引済み,,,10
110,10,2-23,16,18,,259.00,神奈川県藤沢市遠藤,2024/02/05,切り出し,未加工,取引済み,,,10
111,10,2-26,16,20,,259.00,神奈川県藤沢市遠藤,2024/02/02,切り出し,未加工,取引済み,,,10
112,10,2-43,16,19,,286.00,神奈川県藤沢市遠藤,2024/02/08,切り出し,未加工,取引済み,,,10
113,10,3-17,16,19,,281.00,神奈川県藤沢市遠藤,2024/02/07,切り出し,未加工,取引済み,,,10
114,10,3-19,16,20,,283.00,神奈川県藤沢市遠藤,2024/02/06,切り出し,未加工,取引済み,,,10
115,10,3-26,16,20,,232.00,神奈川県藤沢市遠藤,2024/02/01,切り出し,未加工,取引済み,,,10
116,10,3-40,16,20,,233.00,神奈川県藤沢市遠藤,2024/02/06,切り出し,未加工,取引済み,,,10
117,11,0-1,17,20,,399.00,神奈川県藤沢市遠藤,2024/02/05,切り出し,未加工,取引済み,,,11
118,11,0-3,17,20,,427.00,神奈川県藤沢市遠藤,2024/02/05,切り出し,未加工,取引済み,,,11
119,11,0-10,17,18,,374.00,神奈川県藤沢市遠藤,2024/02/01,切り出し,未加工,取引済み,,,11
120,11,0-39,17,19,,430.00,神奈川県藤沢市遠藤,2024/02/09,切り出し,未加工,取引済み,,,11
121,11,1-40,17,19,,335.00,神奈川県藤沢市遠藤,2024/02/07,切り出し,未加工,取引済み,,,11
122,11,2-15,17,20,,405.00,神奈川県藤沢市遠藤,2024/02/10,切り出し,未加工,取引済み,,,11
123,11,2-36,17,19,,383.00,神奈川県藤沢市遠藤,2024/02/01,切り出し,未加工,取引済み,,,11
124,11,3-38,17,19,,355.00,神奈川県藤沢市遠藤,2024/02/03,切り出し,未加工,取引済み,,,11
125,11,3-45,17,19,,325.00,神奈川県藤沢市遠藤,2024/02/10,切り出し,未加工,取引済み,,,11
126,12,0-8,17,19,,282.00,神奈川県藤沢市遠藤,2024/02/02,切り出し,未加工,取引済み,,,12
127,12,0-38,17,20,,309.00,神奈川県藤沢市遠藤,2024/02/03,切り出し,未加工,取引済み,,,12
128,12,0-57,17,19,,266.00,神奈川県藤沢市遠藤,2024/02/02,切り出し,未加工,取引済み,,,12
129,12,1-9,17,19,,289.00,神奈川県藤沢市遠藤,2024/02/10,切り出し,未加工,取引済み,,,12
130,12,1-35,17,19,,234.00,神奈川県藤沢市遠藤,2024/02/10,切り出し,未加工,取引済み,,,12
131,12,2-7,17,18,,293.00,神奈川県藤沢市遠藤,2024/02/05,切り出し,未加工,取引済み,,,12
132,12,2-10,17,20,,246.00,神奈川県藤沢市遠藤,2024/02/06,切り出し,未加工,取引済み,,,12
133,12,2-39,17,19,,309.00,神奈川県藤沢市遠藤,2024/02/03,切り出し,未加工,取引済み,,,12
134,12,2-51,17,18,,241.00,神奈川県藤沢市遠藤,2024/02/02,切り出し,未加工,取引済み,,,12
135,12,2-55,17,18,,302.00,神奈川県藤沢市遠藤,2024/02/01,切り出し,未加工,取引済み,,,12
136,12,3-5,17,20,,301.00,神奈川県藤沢市遠藤,2024/02/05,切り出し,未加工,取引済み,,,12
137,12,3-9,17,20,,231.00,神奈川県藤沢市遠藤,2024/02/10,切り出し,未加工,取引済み,,,12
138,12,3-23,17,20,,275.00,神奈川県藤沢市遠藤,2024/02/04,切り出し,未加工,取引済み,,,12
139,13,0-48,17,18,,415.00,神奈川県藤沢市遠藤,2024/02/02,切り出し,未加工,取引済み,,,13
140,13,0-49,17,19,,451.00,神奈川県藤沢市遠藤,2024/02/07,切り出し,未加工,取引済み,,,13
141,13,1-17,17,20,,401.00,神奈川県藤沢市遠藤,2024/02/07,切り出し,未加工,取引済み,,,13
142,13,1-47,17,19,,456.00,神奈川県藤沢市遠藤,2024/02/10,切り出し,未加工,取引済み,,,13
143,13,1-49,17,20,,479.00,神奈川県藤沢市遠藤,2024/02/01,切り出し,未加工,取引済み,,,13
144,13,3-49,17,20,,405.00,神奈川県藤沢市遠藤,2024/02/02,切り出し,未加工,取引済み,,,13
145,13,3-53,17,18,,446.00,神奈川県藤沢市遠藤,2024/02/01,切り出し,未加工,取引済み,,,13
146,14,0-5,17,18,,318.00,神奈川県藤沢市遠藤,2024/02/05,切り出し,未加工,取引済み,,,14
147,14,0-13,17,18,,266.00,神奈川県藤沢市遠藤,2024/02/07,切り出し,未加工,取引済み,,,14
148,14,1-2,17,20,,320.00,神奈川県藤沢市遠藤,2024/02/05,切り出し,未加工,取引済み,,,14
149,14,1-38,17,18,,280.00,神奈川県藤沢市遠藤,2024/02/02,切り出し,未加工,取引済み,,,14
150,14,2-2,17,20,,313.00,神奈川県藤沢市遠藤,2024/02/10,切り出し,未加工,取引済み,,,14
151,14,2-14,17,20,,282.00,神奈川県藤沢市遠藤,2024/02/05,切り出し,未加工,取引済み,,,14
152,14,2-18,17,20,,332.00,神奈川県藤沢市遠藤,2024/02/07,切り出し,未加工,取引済み,,,14
153,14,2-19,17,18,,299.00,神奈川県藤沢市遠藤,2024/02/08,切り出し,未加工,取引済み,,,14
154,14,2-35,17,18,,327.00,神奈川県藤沢市遠藤,2024/02/06,切り出し,未加工,取引済み,,,14
155,14,2-53,17,19,,266.00,神奈川県藤沢市遠藤,2024/02/03,切り出し,未加工,取引済み,,,14
156,14,3-22,17,19,,314.00,神奈川県藤沢市遠藤,2024/02/02,切り出し,未加工,取引済み,,,14
157,15,0-17,16,18,,697.00,神奈川県藤沢市遠藤,2024/02/05,切り出し,未加工,取引済み,,,15
158,15,1-16,16,18,,679.00,神奈川県藤沢市遠藤,2024/02/08,切り出し,未加工,取引済み,,,15
159,15,1-42,16,19,,689.00,神奈川県藤沢市遠藤,2024/02/02,切り出し,未加工,取引済み,,,15
160,15,3-55,16,20,,646.00,神奈川県藤沢市遠藤,2024/02/10,切り出し,未加工,取引済み,,,15
161,15,3-57,16,20,,694.00,神奈川県藤沢市遠藤,2024/02/06,切り出し,未加工,取引済み,,,15
162,16,0-45,17,20,,682.00,神奈川県藤沢市遠藤,2024/02/09,切り出し,未加工,取引済み,,,16
163,16,1-22,17,18,,576.00,神奈川県藤沢市遠藤,2024/02/05,切り出し,未加工,取引済み,,,16
164,16,1-30,17,20,,665.00,神奈川県藤沢市遠藤,2024/02/06,切り出し,未加工,取引済み,,,16
165,16,3-6,17,19,,726.00,神奈川県藤沢市遠藤,2024/02/03,切り出し,未加工,取引済み,,,16
166,16,3-16,17,20,,704.00,神奈川県藤沢市遠藤,2024/02/07,切り出し,未加工,取引済み,,,16
167,17,0-11,17,18,,218.00,神奈川県藤沢市遠藤,2024/02/07,切り出し,未加工,取引済み,,,17
168,17,0-21,17,19,,236.00,神奈川県藤沢市遠藤,2024/02/09,切り出し,未加工,取引済み,,,17
169,17,0-24,17,20,,232.00,神奈川県藤沢市遠藤,2024/02/08,切り出し,未加工,取引済み,,,17
170,17,0-42,17,18,,252.00,神奈川県藤沢市遠藤,2024/02/10,切り出し,未加工,取引済み,,,17
171,17,1-27,17,18,,224.00,神奈川県藤沢市遠藤,2024/02/01,切り出し,未加工,取引済み,,,17
172,17,2-9,17,18,,262.00,神奈川県藤沢市遠藤,2024/02/01,切り出し,未加工,取引済み,,,17
173,17,2-12,17,19,,219.00,神奈川県藤沢市遠藤,2024/02/08,切り出し,未加工,取引済み,,,17
174,17,2-20,17,18,,261.00,神奈川県藤沢市遠藤,2024/02/05,切り出し,未加工,取引済み,,,17
175,17,2-42,17,20,,241.00,神奈川県藤沢市遠藤,2024/02/09,切り出し,未加工,取引済み,,,17
176,17,3-0,17,19,,259.00,神奈川県藤沢市遠藤,2024/02/05,切り出し,未加工,取引済み,,,17
177,17,3-30,17,19,,248.00,神奈川県藤沢市遠藤,2024/02/05,切り出し,未加工,取引済み,,,17
178,17,3-52,17,19,,238.00,神奈川県藤沢市遠藤,2024/02/08,切り出し,未加工,取引済み,,,17
179,18,0-23,15,20,,613.00,神奈川県藤沢市遠藤,2024/02/04,切り出し,未加工,取引済み,,,18
180,18,1-12,15,18,,505.00,神奈川県藤沢市遠藤,2024/02/03,切り出し,未加工,取引済み,,,18
181,18,1-20,15,20,,583.00,神奈川県藤沢市遠藤,2024/02/02,切り出し,未加工,取引済み,,,18
182,18,1-28,15,18,,621.00,神奈川県藤沢市遠藤,2024/02/10,切り出し,未加工,取引済み,,,18
183,18,1-37,15,20,,617.00,神奈川県藤沢市遠藤,2024/02/03,切り出し,未加工,取引済み,,,18
184,18,3-36,15,18,,635.00,神奈川県藤沢市遠藤,2024/02/02,切り出し,未加工,取引済み,,,18
185,18,3-48,15,18,,511.00,神奈川県藤沢市遠藤,2024/02/07,切り出し,未加工,取引済み,,,18
186,19,0-19,17,18,,251.00,神奈川県藤沢市遠藤,2024/02/07,切り出し,未加工,取引済み,,,19
187,19,0-27,17,18,,271.00,神奈川県藤沢市遠藤,2024/02/05,切り出し,未加工,取引済み,,,19
188,19,0-32,17,20,,280.00,神奈川県藤沢市遠藤,2024/02/01,切り出し,未加工,取引済み,,,19
189,19,1-1,17,18,,246.00,神奈川県藤沢市遠藤,2024/02/01,切り出し,未加工,取引済み,,,19
190,19,1-8,17,18,,278.00,神奈川県藤沢市遠藤,2024/02/02,切り出し,未加工,取引済み,,,19
191,19,1-14,17,18,,258.00,神奈川県藤沢市遠藤,2024/02/09,切り出し,未加工,取引済み,,,19
192,19,1-41,17,20,,253.00,神奈川県藤沢市遠藤,2024/02/02,切り出し,未加工,取引済み,,,19
193,19,1-50,17,19,,284.00,神奈川県藤沢市遠藤,2024/02/03,切り出し,未加工,取引済み,,,19
194,19,2-13,17,19,,286.00,神奈川県藤沢市遠藤,2024/02/02,切り出し,未加工,取引済み,,,19
195,19,2-25,17,20,,236.00,神奈川県藤沢市遠藤,2024/02/01,切り出し,未加工,取引済み,,,19
196,19,3-14,17,20,,306.00,神奈川県藤沢市遠藤,2024/02/04,切り出し,未加工,取引済み,,,19
197,19,3-32,17,18,,268.00,神奈川県藤沢市遠藤,2024/02/09,切り出し,未加工,取引済み,,,19
198,20,0-7,17,19,,317.00,神奈川県藤沢市遠藤,2024/02/03,切り出し,未加工,取引済み,,,20
199,20,0-12,17,20,,326.00,神奈川県藤沢市遠藤,2024/02/01,切り出し,未加工,取引済み,,,20
200,20,0-14,17,19,,345.00,神奈川県藤沢市遠藤,2024/02/08,切り出し,未加工,取引済み,,,20
201,20,0-53,17,19,,330.00,神奈川県藤沢市遠藤,2024/02/02,切り出し,未加工,取引済み,,,20
202,20,1-11,17,20,,365.00,神奈川県藤沢市遠藤,2024/02/09,切り出し,未加工,取引済み,,,20
203,20,1-29,17,18,,318.00,神奈川県藤沢市遠藤,2024/02/07,切り出し,未加工,取引済み,,,20
204,20,1-51,17,18,,336.00,神奈川県藤沢市遠藤,2024/02/06,切り出し,未加工,取引済み,,,20
205,20,2-22,17,19,,323.00,神奈川県藤沢市遠藤,2024/02/04,切り出し,未加工,取引済み,,,20
206,20,2-29,17,18,,336.00,神奈川県藤沢市遠藤,2024/02/09,切り出し,未加工,取引済み,,,20
207,20,2-40,17,18,,337.00,神奈川県藤沢市遠藤,2024/02/04,切り出し,未加工,取引済み,,,20
208,20,3-10,17,19,,360.00,神奈川県藤沢市遠藤,2024/02/07,切り出し,未加工,取引済み,,,20
209,21,0-20,16,20,,345.00,神奈川県藤沢市遠藤,2024/02/06,切り出し,未加工,取引済み,,,21
210,21,0-29,16,20,,346.00,神奈川県藤沢市遠藤,2024/02/03,切り出し,未加工,取引済み,,,21
211,21,0-36,16,19,,331.00,神奈川県藤沢市遠藤,2024/02/04,切り出し,未加工,取引済み,,,21
212,21,0-37,16,20,,306.00,神奈川県藤沢市遠藤,2024/02/01,切り出し,未加工,取引済み,,,21
213,21,0-41,16,18,,351.00,神奈川県藤沢市遠藤,2024/02/10,切り出し,未加工,取引済み,,,21
214,21,2-0,16,19,,385.00,神奈川県藤沢市遠藤,2024/02/10,切り出し,未加工,取引済み,,,21
215,21,3-13,16,19,,319.00,神奈川県藤沢市遠藤,2024/02/08,切り出し,未加工,取引済み,,,21
216,21,3-46,16,19,,293.00,神奈川県藤沢市遠藤,2024/02/05,切り出し,未加工,取引済み,,,21
217,22,1-23,17,20,,207.00,神奈川県藤沢市遠藤,2024/02/02,切り出し,未加工,取引済み,,,22
218,22,2-11,17,18,,219.00,神奈川県藤沢市遠藤,2024/02/09,切り出し,未加工,取引済み,,,22
219,22,2-30,17,19,,216.00,神奈川県藤沢市遠藤,2024/02/02,切り出し,未加工,取引済み,,,22
220,22,2-37,17,19,,205.00,神奈川県藤沢市遠藤,2024/02/09,切り出し,未加工,取引済み,,,22
221,22,2-41,17,18,,188.00,神奈川県藤沢市遠藤,2024/02/01,切り出し,未加工,取引済み,,,22
222,22,2-54,17,20,,184.00,神奈川県藤沢市遠藤,2024/02/08,切り出し,未加工,取引済み,,,22
223,22,3-3,17,19,,194.00,神奈川県藤沢市遠藤,2024/02/01,切り出し,未加工,取引済み,,,22
224,22,3-20,17,20,,196.00,神奈川県藤沢市遠藤,2024/02/09,切り出し,未加工,取引済み,,,22
225,22,3-28,17,20,,169.00,神奈川県藤沢市遠藤,2024/02/01,切り出し,未加工,取引済み,,,22
226,22,3-29,17,19,,186.00,神奈川県藤沢市遠藤,2024/02/06,切り出し,未加工,取引済み,,,22
227,22,3-31,17,19,,208.00,神奈川県藤沢市遠藤,2024/02/07,切り出し,未加工,取引済み,,,22
228,22,3-33,17,19,,182.00,神奈川県藤沢市遠藤,2024/02/08,切り出し,未加工,取引済み,,,22
229,22,3-47,17,19,,177.00,神奈川県藤沢市遠藤,2024/02/01,切り出し,未加工,取引済み,,,22
230,22,3-50,17,19,,189.00,神奈川県藤沢市遠藤,2024/02/08,切り出し,未加工,取引済み,,,22
231,22,3-54,17,20,,178.00,神奈川県藤沢市遠藤,2024/02/02,切り出し,未加工,取引済み,,,22
232,23,0-0,17,19,,404.00,神奈川県藤沢市遠藤,2024/02/10,切り出し,未加工,取引済み,,,23
233,23,0-4,17,18,,495.00,神奈川県藤沢市遠藤,2024/02/07,切り出し,未加工,取引済み,,,23
234,23,0-46,17,19,,432.00,神奈川県藤沢市遠藤,2024/02/05,切り出し,未加工,取引済み,,,23
235,23,1-24,17,20,,492.00,神奈川県藤沢市遠藤,2024/02/05,切り出し,未加工,取引済み,,,23
236,23,2-45,17,18,,436.00,神奈川県藤沢市遠藤,2024/02/02,切り出し,未加工,取引済み,,,23
237,23,3-24,17,20,,425.00,神奈川県藤沢市遠藤,2024/02/03,切り出し,未加工,取引済み,,,23
238,24,0-59,15,20,,"1,198.00",神奈川県藤沢市遠藤,2024/02/03,切り出し,未加工,取引済み,,,24
239,24,2-56,15,20,,"1,272.00",神奈川県藤沢市遠藤,2024/02/07,切り出し,未加工,取引済み,,,24
240,25,0-43,16,20,,411.00,神奈川県藤沢市遠藤,2024/02/06,切り出し,未加工,取引済み,,,25
241,25,0-47,16,19,,416.00,神奈川県藤沢市遠藤,2024/02/02,切り出し,未加工,取引済み,,,25
242,25,0-61,16,19,,392.00,神奈川県藤沢市遠藤,2024/02/02,切り出し,未加工,取引済み,,,25
